Id,Hazard
6,3.17005078748
7,11.9156943662
8,9.50953253713
9,5.73654430598
10,2.66540949115
11,3.63865236232
13,6.45639000491
14,2.31726479366
16,3.76139306415
17,3.00579224749
18,5.52248307711
20,1.80796050991
27,6.42453241185
28,3.98529785207
29,2.05697203173
30,1.77281522534
34,3.30464745077
35,3.50768880876
36,4.13846360166
37,2.20302681729
38,4.06132167944
40,4.07923050509
42,4.68092982884
46,3.29528760274
47,3.42143522313
48,4.24300167675
49,8.3933090009
51,4.78507626614
52,8.9924382975
53,0.861417969403
54,2.7828332955
55,5.02852929177
56,5.43311858685
57,2.47430760449
60,4.02543542019
61,2.33315812864
64,7.70107164116
65,4.1478730062
66,4.75118234086
68,8.32196312785
70,2.25363912741
71,2.50001851601
75,2.76141195365
76,7.51310930899
78,5.91570535241
80,4.04274981784
81,5.51336737029
82,5.60762300359
83,3.66377829735
85,4.13341052588
86,1.78807438451
87,3.33435764415
89,5.30763496232
90,4.93991066713
91,2.38661145664
92,5.67565291972
95,2.20044276503
97,3.91008991036
99,4.27839914522
101,3.30041853722
102,5.19686041657
103,3.15608176437
104,5.07734515817
107,6.01296334444
108,4.15389461018
111,2.55090806337
112,5.76896691747
115,4.99852739459
119,2.22440066332
121,3.5103403802
124,5.088197895
128,4.84912545871
130,4.0105755634
131,6.17332209017
133,5.48572707737
134,5.87512324201
137,6.60387313838
138,3.64035268019
142,6.16324665943
143,5.06858013645
144,16.0375327104
145,6.20429211048
147,3.84138306012
148,7.87555172958
152,2.60086348747
154,14.4306736706
158,2.070662524
159,3.55644409272
160,3.44173942923
161,5.44603234719
164,3.27133525981
165,3.58456575106
166,2.21112420364
167,3.70702795398
169,3.31888493451
170,4.68544229194
171,5.90627616243
175,3.21309410605
177,6.85849017419
178,6.12003093177
180,8.63932542617
182,3.79731577273
184,3.10780284052
185,6.56216941903
186,2.72223154733
190,2.90094345071
191,3.22259679835
192,2.26426787261
195,11.2979306397
196,4.5213936574
197,3.77150124382
198,3.06830789296
199,7.22695043907
200,3.58250365565
204,4.39829950701
205,3.34870388488
207,1.7880959321
208,4.12576114514
209,14.869585669
211,8.02926902662
216,4.66233539024
217,2.00012326923
220,4.44305679467
223,5.48798484261
224,3.00142426061
230,2.76069262777
232,2.95284823459
235,4.46888050633
236,6.1276577528
238,2.32963996424
240,1.49766319755
242,3.14025731461
244,2.00388836793
245,3.08137936306
248,3.51543418298
251,4.08670283399
256,3.04131663676
258,4.7375733522
259,4.62082515572
261,4.9265422322
267,4.83052073831
268,4.27728756875
270,8.07771386981
272,10.1213464802
